item_name,item_caption,category
"Samsung Galaxy smartphone","Android phone with touchscreen and camera","electronics"
"Nike running shoes","Lightweight sports shoes for running","fashion"
"Wooden dining table","Large wooden table for living room","home"
"Apple iPhone case","Protective mobile phone case","electronics"
"Adidas sport jacket","Training jacket for outdoor sports","fashion"
"Office desk lamp","LED lamp for office and home workspace","home"
"Bluetooth headphones","Wireless headphones with noise reduction","electronics"
"Leather handbag","Elegant handbag for daily use","fashion"
"Kitchen chair","Modern chair for dining room","home"
"USB charging cable","Fast charging cable for mobile devices","electronics"
