item_name,item_caption,category
"Luxury leather handbag","Premium designer handbag for women","fashion"
"Gaming laptop RTX","High performance gaming notebook","electronics"
"Wireless earbuds","Bluetooth earbuds with charging case","electronics"
"Office chair ergonomic","Comfortable ergonomic office chair","home"
"Running sports watch","Fitness smartwatch with GPS","electronics"
"Winter fashion coat","Warm winter jacket for outdoor fashion","fashion"
"LED smart television","4K ultra HD smart TV","electronics"
"Kitchen storage shelf","Modern storage furniture for kitchen","home"
"Wireless mechanical keyboard","RGB gaming keyboard","electronics"
"Modern sofa set","Luxury sofa furniture for living room","home"
